timestamp,market_cap,total_coins,avg_price,realized_price,mvrv_ratio,high,low,close
2023-12-22,864325377812.5,19577018.75,44150.0,30518.42,1.4467,44367.96,43441.97,43997.9
2023-12-23,854193866437.5,19578131.25,43630.0,30595.36,1.426,44015.7,43351.36,43739.54
2023-12-24,852754110075.0,19579237.5,43554.0,30668.86,1.4201,43945.52,42786.92,43016.12
2023-12-25,846086773918.75,19580356.25,43211.0,30738.36,1.4058,43765.09,42765.77,43613.14
2023-12-26,836774637012.5,19581462.5,42733.0,30805.96,1.3872,43603.18,41676.49,42520.4
2023-12-27,850451649675.0,19582575.0,43429.0,30876.84,1.4065,43683.16,42167.58,43442.86
2023-12-29,831718942687.5,19583681.25,42470.0,30948.56,1.3723,43124.32,41424.06,42099.4
2023-12-30,826164675900.0,19584787.5,42184.0,31015.84,1.3601,42584.12,41556.23,42156.9
2023-12-31,836102218293.75,19585893.75,42689.0,31082.8,1.3734,42860.94,41998.25,42265.19
2024-01-01,856774554000.0,19587000.0,43742.0,31153.42,1.4041,44175.44,42214.98,44167.33
2024-01-03,887752563356.25,19588106.25,45321.0,31235.9,1.4509,45503.24,40813.54,42848.18
2024-01-04,846195212362.5,19589212.5,43197.0,31312.07,1.3796,44770.02,42675.18,44179.92
2024-01-05,859701548025.0,19590318.75,43884.0,31394.02,1.3978,44353.29,42784.72,44162.69
2024-01-06,859495406175.0,19591425.0,43871.0,31475.74,1.3938,44227.63,43475.16,43989.2
2024-01-08,856448318531.25,19592531.25,43713.0,31559.11,1.3851,47218.0,43244.08,46970.5
2024-01-09,912338833931.25,19593643.75,46563.0,31657.82,1.4708,47893.7,45244.71,46139.73
2024-01-10,888582723000.0,19594750.0,45348.0,31750.24,1.4283,47647.22,44483.15,46627.78
2024-01-11,904721087206.25,19595856.25,46169.0,31843.92,1.4499,48969.37,45678.64,46368.59
2024-01-12,855211989000.0,19596975.0,43640.0,31927.23,1.3669,46498.14,41903.77,42853.17
2024-01-13,841365494462.5,19598087.5,42931.0,32007.93,1.3413,43234.66,42464.14,42842.38
2024-01-15,835572427143.75,19599193.75,42633.0,32085.94,1.3287,43319.72,41705.42,42511.97
2024-01-16,845341338700.0,19600300.0,43129.0,32167.2,1.3408,43566.27,42086.0,43154.95
2024-01-18,839371418437.5,19601406.25,42822.0,32246.02,1.328,42876.35,40631.17,41262.06
2024-01-19,814366779300.0,19602512.5,41544.0,32318.48,1.2855,42134.16,40297.46,41618.41
2024-01-20,817157765025.0,19603631.25,41684.0,32390.54,1.2869,41877.89,41446.82,41665.59
2024-01-22,813322399212.5,19604743.75,41486.0,32466.54,1.2778,41651.21,39450.12,39507.37
2024-01-23,785234148668.75,19605856.25,40051.0,32534.66,1.231,40127.35,38521.89,39845.55
2024-01-24,784160858225.0,19606962.5,39994.0,32601.0,1.2268,40483.79,39508.8,40077.07
2024-01-25,786793617450.0,19608075.0,40126.0,32665.64,1.2284,40254.48,39545.66,39933.81
2024-01-26,808937554106.25,19609181.25,41253.0,32732.85,1.2603,42209.39,39825.69,41816.87
2024-01-27,820788844906.25,19610293.75,41855.0,32803.06,1.2759,42195.63,41431.28,42120.05
2024-01-28,829542872968.75,19611406.25,42299.0,32878.49,1.2865,42797.18,41696.91,42035.59
2024-01-29,843436368843.75,19612518.75,43005.0,32957.58,1.3049,43305.87,41818.33,43288.25
2024-01-31,844582575256.25,19613631.25,43061.0,33037.09,1.3034,43717.41,42298.95,42582.61
2024-02-01,826722219575.0,19614743.75,42148.0,33111.82,1.2729,43243.17,41879.19,43075.77
2024-02-02,844540805900.0,19615850.0,43054.0,33197.98,1.2969,43422.49,42584.34,43185.86
2024-02-03,845647750025.0,19616956.25,43108.0,33278.68,1.2954,43359.94,42890.81,42992.25
2024-02-04,843204212943.75,19618068.75,42981.0,33361.01,1.2884,43097.64,42374.83,42583.58
2024-02-05,834344655225.0,19619175.0,42527.0,33440.7,1.2717,43494.25,42264.82,42658.67
2024-02-06,848204648912.5,19620287.5,43231.0,33527.59,1.2894,43344.15,42529.02,43084.67
2024-02-07,866794966400.0,19621400.0,44176.0,33619.14,1.314,44341.95,42775.96,44318.22
2024-02-09,907894986700.0,19622525.0,46268.0,33720.86,1.3721,48152.5,45260.82,47147.2
2024-02-10,929551788681.25,19623631.25,47369.0,33827.46,1.4003,48146.17,46905.32,47771.28
2024-02-11,946049720662.5,19624737.5,48207.0,33943.77,1.4202,48535.94,47617.41,48293.92
2024-02-12,940452004631.25,19625868.75,47919.0,34055.62,1.4071,50280.48,47745.76,49958.22
2024-02-13,953988746850.0,19626975.0,48606.0,34166.04,1.4226,50358.39,48406.5,49742.44
2024-02-15,1025351662912.5,19628087.5,52239.0,34295.1,1.5232,52820.07,51371.63,51938.55
2024-02-16,1026194946800.0,19629200.0,52279.0,34422.47,1.5187,52537.97,51641.37,52160.2
2024-02-17,1015123366400.0,19630325.0,51712.0,34527.82,1.4977,52191.91,50669.67,51663.0
2024-02-18,1015710944812.5,19631437.5,51739.0,34636.93,1.4938,52356.96,51233.71,52122.55
2024-02-20,1014217210125.0,19632543.75,51660.0,34741.96,1.487,52945.05,50792.31,52284.88
2024-02-21,1011074395906.25,19633656.25,51497.0,34846.22,1.4778,52368.82,50671.76,51839.18
2024-02-22,1012466850593.75,19634768.75,51565.0,34953.45,1.4752,52009.61,50926.29,51304.97
2024-02-23,1001312128462.5,19635881.25,50994.0,35055.28,1.4547,51497.93,50561.78,50731.95
2024-02-25,1014489277100.0,19637050.0,51662.0,35160.03,1.4693,51950.03,51306.17,51733.24
2024-02-26,1007732308687.5,19638162.5,51315.0,35265.57,1.4551,54938.18,50931.03,54522.4
2024-02-27,1113330860475.0,19639275.0,56689.0,35395.88,1.6016,57537.84,54484.2,57085.37
2024-02-28,1203641507550.0,19640387.5,61284.0,35549.1,1.7239,63913.13,56738.43,62504.79
2024-03-01,1203807510443.75,19641493.75,61289.0,35700.29,1.7168,63155.1,60802.53,62440.63
2024-03-02,1216957283000.0,19642600.0,61955.0,35857.84,1.7278,62458.7,61657.29,62029.85
2024-03-03,1220188457425.0,19643706.25,62116.0,36016.94,1.7246,63230.21,61435.02,63167.37
2024-03-05,1337772441625.0,19644812.5,68098.0,36206.1,1.8808,69170.62,59323.91,63801.2
2024-03-06,1243036571150.0,19645918.75,63272.0,36371.25,1.7396,67637.93,62848.67,66106.8
2024-03-07,1292184834250.0,19647025.0,65770.0,36548.62,1.7995,68029.92,65655.53,66925.48
2024-03-08,1316424793750.0,19648131.25,67000.0,36731.89,1.824,70083.05,66230.45,68300.09
2024-03-09,1340078850000.0,19649250.0,68200.0,36919.68,1.8473,68673.05,68053.12,68498.88
2024-03-10,1360374945512.5,19650362.5,69229.0,37112.79,1.8654,70005.2,68239.98,69019.79
2024-03-11,1411800817937.5,19651468.75,71842.0,37320.55,1.925,72850.71,67194.88,72123.91
2024-03-12,1388690696287.5,19652581.25,70662.0,37522.68,1.8832,72825.66,68728.85,71481.29
2024-03-14,1435859101375.0,19653687.5,73058.0,37736.62,1.936,73750.07,68563.02,71396.59
2024-03-15,1344328928118.75,19654793.75,68397.0,37929.0,1.8033,72357.13,65630.7,69403.77
2024-03-16,1341515175000.0,19655900.0,68250.0,38120.11,1.7904,70046.27,64801.39,65315.12
2024-03-17,1343301263212.5,19657012.5,68337.0,38312.64,1.7837,68845.72,64545.32,68390.62
2024-03-19,1314519160625.0,19658125.0,66869.0,38497.42,1.737,68106.93,61536.18,61912.77
2024-03-20,1234206537875.0,19659231.25,62780.0,38660.54,1.6239,68115.26,60807.79,67913.67
2024-03-21,1325873500662.5,19660337.5,67439.0,38851.75,1.7358,68199.99,64580.92,65491.39
2024-03-22,1250822126100.0,19661450.0,63618.0,39023.53,1.6302,66623.75,62355.37,63778.76
2024-03-24,1266328817725.0,19662575.0,64403.0,39197.89,1.643,67622.76,63825.85,67234.17
2024-03-25,1310682673718.75,19663681.25,66655.0,39384.05,1.6924,71162.59,66414.84,69958.81
2024-03-26,1390300918125.0,19664793.75,70700.0,39590.66,1.7858,71535.74,69335.61,69987.84
2024-03-27,1355275498500.0,19665900.0,68915.0,39787.8,1.7321,71727.69,68381.93,69455.34
2024-03-28,1393033719693.75,19667006.25,70831.0,39997.17,1.7709,71546.02,68895.51,70744.95
2024-03-30,1373011265512.5,19668112.5,69809.0,40199.72,1.7366,70355.49,69601.06,69645.3
2024-03-31,1382549385937.5,19669218.75,70290.0,40405.13,1.7396,71377.78,69624.87,71333.65
2024-04-01,1365097696375.0,19670562.5,69398.0,40606.71,1.709,71342.09,68110.7,69702.15
2024-04-03,1282927628475.0,19671675.0,65217.0,40787.25,1.599,66914.32,64559.9,65980.81
2024-04-04,1288351180587.5,19672787.5,65489.0,40969.4,1.5985,69291.26,65113.8,68508.84
2024-04-05,1316341301200.0,19673900.0,66908.0,41154.55,1.6258,68725.76,66011.48,67837.64
2024-04-06,1340104025700.0,19675006.25,68112.0,41347.41,1.6473,69629.6,67491.72,68896.11
2024-04-07,1364577754100.0,19676112.5,69352.0,41547.02,1.6692,70284.43,68851.63,69362.55
2024-04-08,1414398483750.0,19677218.75,71880.0,41759.29,1.7213,72715.36,69064.24,71631.36
2024-04-10,1354951067875.0,19678325.0,68855.0,41956.54,1.6411,71093.43,67503.56,70587.88
2024-04-11,1387498740937.5,19679437.5,70505.0,42160.72,1.6723,71256.23,69571.81,70060.61
2024-04-12,1358351129625.0,19680543.75,69020.0,42359.26,1.6294,71222.74,65254.84,67195.87
2024-04-13,1312825933737.5,19681662.5,66703.0,42547.13,1.5677,67931.43,60919.11,63821.47
2024-04-14,1258260357881.25,19682768.75,63927.0,42735.96,1.4959,65824.43,62205.85,65738.73
2024-04-16,1251206308937.5,19683887.5,63565.0,42924.29,1.4809,64355.67,61716.4,63811.86
2024-04-17,1265017155000.0,19685000.0,64263.0,43115.12,1.4905,64486.36,59768.59,61276.69
2024-04-18,1225322700337.5,19686112.5,62243.0,43296.44,1.4376,64125.69,60833.48,63512.75
